"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 28 10:20:50 GMT 2025","Sat Jun 28 10:20:52 GMT 2025","1987","","AuthorTests","","AuthorTests","getAuthorTest","GET - get author by id",""
"skipped","Sat Jun 28 10:20:49 GMT 2025","Sat Jun 28 10:20:49 GMT 2025","0","","AuthorTests","","AuthorTests","postAuthorTest","POST - create new author",""
"passed","Sat Jun 28 10:20:51 GMT 2025","Sat Jun 28 10:20:53 GMT 2025","1335","","BooksTests","","BooksTests","getBookTest","GET - book by id test",""
"passed","Sat Jun 28 10:20:49 GMT 2025","Sat Jun 28 10:20:51 GMT 2025","2022","","AuthorTests","","AuthorTests","getAllAuthorsTest","GET - get all authors test",""
"skipped","Sat Jun 28 10:20:49 GMT 2025","Sat Jun 28 10:20:49 GMT 2025","0","","AuthorTests","","AuthorTests","deleteAuthorTest","DELETE - delete author test",""
"skipped","Sat Jun 28 10:20:51 GMT 2025","Sat Jun 28 10:20:51 GMT 2025","0","","BooksTests","","BooksTests","updateBookTest","PUT - update book test with all fields",""
"passed","Sat Jun 28 10:20:49 GMT 2025","Sat Jun 28 10:20:51 GMT 2025","2110","","BooksTests","","BooksTests","getBooksTest","GET - all books test",""
"skipped","Sat Jun 28 10:20:51 GMT 2025","Sat Jun 28 10:20:51 GMT 2025","0","","BooksTests","","BooksTests","deleteBookTest","DELETE - delete book by id test",""
"skipped","Sat Jun 28 10:20:51 GMT 2025","Sat Jun 28 10:20:51 GMT 2025","0","","BooksTests","","BooksTests","addBookTest","POST - add book test",""
"skipped","Sat Jun 28 10:20:49 GMT 2025","Sat Jun 28 10:20:49 GMT 2025","1","","AuthorTests","","AuthorTests","putAuthorTest","PUT - update author",""
